"","X","ID","date","estacion","PM25","PM25_hora","AOD_055","ndvi","BCSMASS_dia","DUSMASS_dia","DUSMASS25_dia","OCSMASS_dia","SO2SMASS_dia","SO4SMASS_dia","SSSMASS_dia","SSSMASS25_dia","blh_mean","blh_min","blh_max","blh_sd","sp_mean","sp_min","sp_max","sp_sd","d2m_mean","d2m_min","d2m_max","d2m_sd","t2m_mean","t2m_min","t2m_max","t2m_sd","v10_mean","v10_min","v10_max","v10_sd","u10_mean","u10_min","u10_max","u10_sd","tp_mean","tp_min","tp_max","tp_sd","DEM","dayWeek"
"1",1,1,2015-10-03,"EMC I",8.626086957,9.609230769,0.123130986,0.533107588323546,3.9e-10,9.39e-09,2.48e-09,1.04e-09,1.51e-09,9.19e-10,2.25e-08,4e-09,1159.69387026106,597.060633559029,1669.82305693732,365.513008748678,102160.85036013,102001.91427395,102286.736695925,72.4818467433101,275.157514356442,273.408122197463,277.660334200622,1.27561894256831,282.055665258083,277.354531272959,286.4866690355,3.14359164511781,4.97781096235308,2.91905946039734,8.37525285002015,1.50738707551752,2.52351522257866,0.848451543993226,3.76012477661845,0.881918772010572,2.04098183820891e-08,0,3.01646759482886e-07,6.77004238107303e-08,6,6
"5",6,1,2015-10-08,"EMC I",20.65875,29.70923077,0.040204847,0.533107588323546,3.18e-10,7.61e-09,2.25e-09,1.24e-09,1.86e-09,9.63e-10,1.86e-08,3.74e-09,929.472385400579,576.739193738627,1492.48619440342,324.508320114339,101504.185623401,101271.785578749,101810.754795019,131.196079997741,281.085217206179,277.305775523265,283.270606404015,2.29799199037601,288.428662763507,285.237175780028,292.07034580108,2.31609124439558,4.55060971741522,3.82779043461422,6.31224161474371,0.668688685110366,-5.39632845562945,-6.97805997730579,-3.68013286633769,0.977309440821373,5.3841978229504e-06,0,7.07128331349613e-05,1.72500947488196e-05,6,4
"7",14,1,2015-10-16,"EMC I",13.22,16.66230769,0.104924692,0.533107588323546,5.39e-10,5.56e-09,1.54e-09,1.57e-09,1.85e-09,6.07e-10,2.3e-08,3.94e-09,1019.57487122745,649.274358064355,1473.39407425331,247.262808046987,101884.388911456,101307.023589748,102182.198280784,249.977643938913,278.148484657768,276.751490132564,280.865688675824,1.11769132328716,285.667726420374,281.599517100449,289.356945887645,2.53768142873664,4.314428547723,3.41933491520698,5.25751625518926,0.480837828500533,3.62963868166669,0.672685564489808,4.63418150003755,1.09219630882857,0,0,0,0,6,5
"8",15,1,2015-10-17,"EMC I",15.57625,16.22461538,0.072016326,0.533107588323546,3.16e-10,6.42e-09,1.79e-09,8.91e-10,1.78e-09,6.65e-10,2.52e-08,4.21e-09,854.681287345699,360.513787399152,1570.58581019164,460.23653215058,102682.696998843,102230.10752819,102916.271757396,167.874717923286,276.391622050474,273.211020338492,278.658521323471,1.80083458350648,285.333057050398,280.440431085241,289.500528380483,2.86904621089708,3.34501699424953,-1.63809460694849,5.12382365190267,1.82569045496538,-1.15197612216866,-3.56089269390927,0.108756726038185,0.884445433525088,0,0,0,0,6,6
"9",16,1,2015-10-18,"EMC I",6.425,7.114615385,0.061571036,0.533107588323546,3.29e-10,8.79e-09,2.51e-09,1.19e-09,2.8e-09,9.18e-10,1.57e-08,3.18e-09,561.707804426918,280.790396308465,917.696635420643,228.504205598852,102392.830760338,101782.087394477,102755.810306602,340.741070892797,278.474698805348,276.331984622761,282.276227246969,1.48901818551377,286.870936029246,283.076789411695,291.116849040365,2.70048550770028,-3.2759533671851,-4.90377575982624,-0.456067061941281,1.16250425453184,-2.35105604943539,-3.83513077924792,-1.12351314741683,0.790022238230686,0,0,0,0,6,7
"10",17,1,2015-10-19,"EMC I",8.429473684,13.88125,0.339511705,0.533107588323546,4.56e-10,9.9e-09,2.65e-09,2.58e-09,2.93e-09,1.26e-09,1.57e-08,3.41e-09,516.801471421158,355.346949310394,682.014330358632,88.2640238062447,101223.386294155,100589.705804462,101777.610187812,388.51638704776,283.774392588538,281.681048386004,287.407818164153,1.55789974003054,288.855460869396,287.12382620746,290.496696539151,0.965029016838098,-3.84182817821635,-5.06269195442078,-1.87330850530099,0.967894451968968,-2.46305851582355,-3.9321893820652,-1.51269863531119,0.75073691569901,0.000128428973593666,0,0.00143653826352069,0.000319262919489824,6,1
"11",18,1,2015-10-20,"EMC I",7.76875,8.652307692,0.146020336,0.533107588323546,1.54e-09,2.4e-08,7.07e-09,1.14e-08,4.7e-09,6.17e-09,1.15e-08,2.95e-09,590.747214482085,52.9565970196434,1461.833554521,543.376453779049,100583.048621719,100365.255827732,100787.243503931,124.882974333474,286.340015801242,285.020720697954,287.393419065206,0.890088392036218,289.944068140933,287.75671525843,293.920420738008,2.29673852308914,2.12952620041808,-0.73513151652791,5.79623611857041,1.70143350197931,2.16051212303513,-1.95136878470568,6.20947491038076,2.77553179206609,0.000122207034897674,0,0.00116938243989846,0.000288262569723839,6,2
"12",19,1,2015-10-21,"EMC I",22.13375,24.26153846,0.240486788,0.533107588323546,1.46e-09,1.23e-08,3.45e-09,3.9e-09,6.38e-09,2.43e-09,3.02e-09,8.33e-10,310.191883099252,30.9436244766431,879.905292941683,324.048109842242,100993.514181612,100907.386591435,101142.568675752,72.8031599506992,286.379702371505,284.873751302456,287.670501867769,0.730854468337406,291.092481085207,286.675293506374,295.000127655585,2.75792532273767,-0.968908689767902,-2.99955935172368,0.590959049589057,0.933414768513791,-0.694798753836839,-4.16435727732288,2.10386473521797,2.0107905339692,2.00173231170776e-06,0,2.18085847484309e-05,5.79567720158433e-06,6,3
"14",21,1,2015-10-23,"EMC I",24.3375,36.69846154,0.166148275,0.533107588323546,2.53e-10,1.04e-08,2.73e-09,7.76e-10,1.45e-09,6.08e-10,2.27e-08,4e-09,918.263890358758,604.96436619423,1391.35644002549,266.227814323838,102250.461421794,101803.386429189,102459.255843592,166.036606287107,278.464974096738,275.921654092115,285.956587395468,3.21825939137838,286.277202802311,282.17904840291,289.893966906439,2.38666648181318,5.3520476923873,2.91474734016258,7.75621484315699,1.65823330236624,-0.817450463354438,-3.4757226720261,0.685694009235955,1.16720227308194,4.6909025255227e-06,0,3.22447455021269e-05,9.30998476436565e-06,6,5
"15",23,1,2015-10-25,"EMC I",8.74875,8.366153846,0.253460429,0.533107588323546,2.21e-10,3.81e-09,1.1e-09,1.12e-09,1.85e-09,7.92e-10,3.87e-08,7.27e-09,766.422211163866,265.616228690816,1224.91319352378,212.998319805518,101962.982339312,101594.198044229,102246.72942962,215.350755610172,284.065468106174,282.679607975606,287.46697810892,1.49325349432637,288.274280691163,285.970217631249,291.292563553496,2.01614804804267,-0.286173719888562,-3.08046659551254,1.97318396709773,1.56268090212619,-6.6650774463247,-8.40364369084563,-3.38864227027073,1.40838466044343,8.45856035456456e-05,0,0.000377243085518264,0.000101910249683571,6,7
