"","X","ID","date","estacion","PM25","AOD_055","ndvi","BCSMASS_dia","DUSMASS_dia","DUSMASS25_dia","OCSMASS_dia","SO2SMASS_dia","SO4SMASS_dia","SSSMASS_dia","SSSMASS25_dia","blh_mean","blh_min","blh_max","blh_sd","sp_mean","sp_min","sp_max","sp_sd","d2m_mean","d2m_min","d2m_max","d2m_sd","t2m_mean","t2m_min","t2m_max","t2m_sd","v10_mean","v10_min","v10_max","v10_sd","u10_mean","u10_min","u10_max","u10_sd","tp_mean","tp_min","tp_max","DEM","dayWeek"
"1",2,1,2015-01-02,"BSQ",17.6667,0.065016306,0.181654942,5.78e-10,2.27e-09,5.81e-10,1.63e-09,4.69e-09,1.27e-09,1.24e-08,2.02e-09,738.3905493,17.92637311,2219.677597,847.6736117,90245.13083,90164.67924,90297.05043,41.51498724,280.6426163,278.6353805,282.6165507,1.02079253,292.9299692,285.3380114,299.9627964,4.969070919,0.231145021,-0.194724231,1.215120056,0.330362601,0.899189885,-1.399500045,2.668538587,1.39263847,0,0,0,580,5
"3",4,1,2015-01-04,"BSQ",24.75,0.162863252,0.181654942,7.7e-10,2.18e-09,6.11e-10,2.83e-09,5.76e-09,2.07e-09,6.82e-09,1.75e-09,513.2855486,17.58155802,1527.466942,576.0752164,90316.01256,90231.74151,90379.67037,40.57238711,283.0252902,280.9099712,285.0201897,1.242472373,294.6310989,287.3672829,301.7611487,4.973156098,0.465556013,-0.190438388,1.183220458,0.356160052,1.175758253,-0.832066377,2.94871747,1.28044048,-1.36e-20,-1.36e-20,-1.36e-20,580,7
"4",5,1,2015-01-05,"BSQ",20.375,0.087762357,0.181654942,7.23e-10,4.88e-09,1.33e-09,2.19e-09,6.63e-09,2.45e-09,7.19e-09,2.06e-09,506.8671139,22.64197721,1397.318208,536.1148717,90330.45698,90235.02793,90401.92343,47.74664963,283.6472355,281.5057195,285.98755,0.935417754,294.0559675,287.8799113,300.3959422,4.224506201,0.501029329,-0.185057003,1.114220905,0.381012405,1.315947857,-0.637041091,3.289639648,1.438954571,0,0,0,580,1
"5",6,1,2015-01-06,"BSQ",23,0.201480777,0.181654942,5.9e-10,4.01e-09,1.15e-09,1.43e-09,7.98e-09,3.52e-09,5.76e-09,1.64e-09,541.8679365,24.37770602,1652.759421,591.4245955,90262.0888,90198.63814,90318.64845,28.50793699,283.4650198,281.7944745,285.0289364,0.863369303,292.765537,286.5972138,300.4679196,4.829700892,0.419696454,0.036467107,0.846501648,0.240552427,1.190417422,-1.351569624,3.072708075,1.270378603,-5.42e-20,-5.42e-20,-5.42e-20,580,2
"6",7,1,2015-01-07,"BSQ",21.5,0.192183461,0.181654942,5.99e-10,1.25e-09,4.1e-10,1.38e-09,5.78e-09,2.6e-09,7.01e-09,1.72e-09,639.9682556,41.94423692,1870.556934,690.4095102,90283.70923,90177.69037,90376.33326,64.52678598,283.2852247,282.3196182,285.4758017,0.926700125,291.4933492,285.9648412,297.3310935,3.986835563,0.130879554,-0.377983076,1.002430081,0.302056803,1.304775884,-0.792621884,2.654307267,0.82957823,0,0,0,580,3
"7",8,1,2015-01-08,"BSQ",23.0833,0.109038758,0.181654942,6.05e-10,6.56e-09,1.67e-09,2.17e-09,7.42e-09,3.97e-09,7.1e-09,1.32e-09,761.0800823,21.44988921,2165.398679,842.808638,90245.17146,90128.01313,90355.80995,70.88762672,281.6125897,278.8626699,284.18553,1.497119543,292.9449655,286.1200687,301.7584911,5.320258719,0.392832731,-0.118633257,1.5637415,0.426361648,0.920095133,-0.903405936,1.981357269,0.930819588,8.47e-22,8.47e-22,8.47e-22,580,4
"9",10,1,2015-01-10,"BSQ",27.375,0.105920179,0.181654942,6.81e-10,2.4e-09,6.65e-10,2.74e-09,5e-09,1.48e-09,1.27e-08,2.54e-09,586.1031568,19.76785453,1676.940026,648.2171688,90426.69925,90305.9415,90503.06347,61.52197356,282.4299916,280.017724,284.5999796,1.164273791,294.764606,287.587856,302.3339867,5.025106274,0.516564035,0.004887191,1.325056931,0.361429578,1.162725788,-1.103845128,2.873415916,1.379640141,-1.69e-21,-1.69e-21,-1.69e-21,580,6
"10",11,1,2015-01-11,"BSQ",24.7083,0.090342195,0.181654942,6.72e-10,3.19e-09,8.79e-10,3.2e-09,4.92e-09,1.5e-09,1.04e-08,2.21e-09,553.5629118,17.08190801,1662.374102,617.2754223,90340.85447,90086.22535,90470.25973,107.9784461,282.5918576,280.3693311,285.7609216,1.52137226,295.0208884,287.1141842,303.5114775,5.695449595,0.667763981,-0.076313999,1.535315946,0.452751899,1.081507161,-1.565221376,3.06740355,1.472721318,-1.69e-21,-1.69e-21,-1.69e-21,580,7
"11",12,1,2015-01-12,"BSQ",27.2917,0.089330621,0.181654942,8.29e-10,1.95e-09,5.56e-10,4.63e-09,4.18e-09,9.04e-10,2.23e-08,3.73e-09,563.0976963,16.93689627,1656.915858,634.8185692,90231.18053,90101.01346,90303.33036,65.50667018,282.3038686,280.9955581,284.4861384,0.864651839,293.9458454,287.5602082,300.5610798,4.247808903,0.392839512,-0.067957814,0.941163311,0.270290704,1.292063808,-0.716451646,3.178775961,1.310213444,0,0,0,580,1
"12",13,1,2015-01-13,"BSQ",31.625,0.175492619,0.181654942,8.99e-10,2.78e-09,7.41e-10,7.35e-09,5.93e-09,1.6e-09,1.45e-08,2.52e-09,620.1447487,19.42733281,1763.9537,673.3400158,90345.45828,90246.31148,90408.99377,36.33559828,282.0148176,280.481436,283.9444622,1.170800148,293.1148569,286.6682155,300.5149268,4.766026302,0.624508701,0.134216791,1.186081138,0.357105588,1.193999796,-0.920062606,3.082955401,1.392562055,2.71e-20,2.71e-20,2.71e-20,580,2
"13",14,1,2015-01-14,"BSQ",27.75,0.118212031,0.181654942,1.13e-09,2.52e-09,6.94e-10,1.08e-08,5.95e-09,1.52e-09,1.36e-08,2.47e-09,567.0129712,19.95922823,1659.783394,613.516954,90413.65714,90343.11759,90471.38834,36.67788212,283.2101217,281.7872927,285.2897589,1.097016441,293.7921197,287.734546,301.3469954,4.759920886,0.563609204,0.031932525,1.238815494,0.355816507,1.290443692,-0.757955678,3.219224009,1.359925378,0,0,0,580,3
"14",15,1,2015-01-15,"BSQ",24.125,0.118721367,0.181654942,8.93e-10,1.75e-09,4.78e-10,7.33e-09,5.5e-09,1.69e-09,1.1e-08,2.17e-09,509.3023802,20.45755369,1418.536458,537.4574762,90452.91729,90371.96468,90556.65229,51.80029352,284.1478873,282.7076881,285.4145833,0.817187229,293.9389504,287.8455593,300.3212606,4.217016971,0.54363641,-0.310565751,1.165710044,0.397575081,1.377968087,-1.121323988,3.243311434,1.342371654,-1.06e-22,-1.06e-22,-1.06e-22,580,4
"15",16,1,2015-01-16,"BSQ",28.5833,0.113970871,0.181654942,6.63e-10,1.88e-09,5.23e-10,3.24e-09,5.77e-09,1.84e-09,9.78e-09,2.25e-09,514.9084492,31.05471882,1436.135121,546.1738677,90516.92874,90403.51506,90625.72801,67.03116976,284.3060577,282.4249,286.012989,1.170304935,293.7464288,287.4414658,300.664691,4.661244089,0.639538944,-0.009313607,1.312123081,0.464586312,1.171168299,-1.382497396,3.034825772,1.43526269,0,0,0,580,5
"16",17,1,2015-01-17,"BSQ",27.2083,0.131884979,0.181654942,8.69e-10,8.51e-09,2.09e-09,6.33e-09,5.04e-09,2.22e-09,1.07e-08,2.74e-09,482.4087433,18.35876145,1377.751997,520.3571769,90497.62275,90371.66256,90613.54391,71.01677588,285.0267024,283.3054019,287.34306,1.15374573,293.2459168,287.2053644,299.4920108,4.147254409,0.495251223,-0.009922456,1.181186642,0.398575538,1.281486908,-0.90405597,3.395737277,1.434783373,0,0,0,580,6
"17",18,1,2015-01-18,"BSQ",23.5,0.269777898,0.181654942,6.78e-10,5.25e-09,1.37e-09,2.76e-09,5.56e-09,1.92e-09,7.34e-09,1.93e-09,501.8586138,26.51126422,1377.950364,527.0787327,90421.61908,90247.48886,90552.97463,91.87551976,285.0901445,283.0240943,286.7156584,1.240938224,291.560898,286.4077568,296.4149393,3.405503454,0.518099616,-0.07668363,1.455170836,0.4727375,1.288234077,-1.157838939,3.164239814,1.510818484,0,0,0,580,7
"20",21,1,2015-01-22,"BSQ",20.4167,0.123754805,0.181654942,6.43e-10,3.56e-09,8.98e-10,1.7e-09,7.01e-09,3.47e-09,4.05e-09,8.9e-10,497.2654632,27.0829889,1343.255592,509.1959976,90553.25054,90443.01891,90688.09981,77.53598861,285.3842169,284.1862999,287.489899,1.048672604,292.8373512,287.0549014,299.8579501,4.584843233,0.700449541,0.14424908,1.810760743,0.558191589,1.319817612,-0.272741792,3.116107462,1.214054879,0,0,0,580,4
"21",22,1,2015-01-23,"BSQ",20.75,0.071786788,0.181654942,5.76e-10,4.63e-09,1.28e-09,1.58e-09,4.75e-09,1.94e-09,8.24e-09,1.6e-09,458.7355775,16.69452765,1310.401747,498.2548483,90428.0238,90308.99143,90499.07402,62.07329482,284.8586547,283.1662675,287.1429196,1.201714473,293.9611544,287.4647706,301.0921808,4.608866241,0.542408166,-0.300573499,1.324232161,0.453415389,1.301818884,-0.8296656,3.38903929,1.45415056,0,0,0,580,5
"22",23,1,2015-01-24,"BSQ",20.7083,0.076519181,0.181654942,9.67e-10,4.71e-09,1.29e-09,5.23e-09,4.58e-09,1.23e-09,9.35e-09,1.77e-09,466.2837018,15.16565326,1316.912024,496.5766407,90431.00183,90335.72685,90513.72937,55.92257703,284.4819076,282.2563299,286.4667603,1.040013957,293.8993746,287.3722584,301.5279563,4.707094688,0.515910742,-0.047531832,1.498444669,0.479199769,1.311624558,-0.51629822,3.278564913,1.304816734,0,0,0,580,6
"23",24,1,2015-01-25,"BSQ",15.875,0.063727912,0.181654942,1.08e-09,2.72e-09,7.32e-10,7.05e-09,4.79e-09,1.02e-09,1.11e-08,2.04e-09,461.6325759,17.97053685,1210.441668,479.5825347,90334.25085,90197.34407,90426.00282,69.70949684,285.6029447,283.6571007,288.4516846,1.422511106,294.0973179,288.5190312,300.9405052,4.255879691,0.508674753,-0.438649393,1.441812223,0.528320501,1.42723547,-0.870718382,3.295513821,1.360065965,0,0,0,580,7
"25",26,1,2015-01-27,"BSQ",16.2083,0.039280942,0.181654942,5.1e-10,2.93e-09,8.54e-10,1.43e-09,4.41e-09,8.62e-10,9.6e-09,1.74e-09,569.9075427,26.29854167,1636.623954,603.1237851,90294.11191,90218.83191,90382.72299,52.6957909,285.2805443,283.3011505,288.2163228,1.191353479,294.4316903,288.0434509,302.0050158,4.77211885,0.407201553,-0.052509284,0.76164603,0.237137246,1.458514855,-0.860453812,3.271468325,1.331848761,2.71e-20,2.71e-20,2.71e-20,580,2
"28",29,1,2015-01-30,"BSQ",24.0417,0.074820893,0.181654942,6.74e-10,5.13e-09,1.44e-09,2.06e-09,5.47e-09,1.7e-09,1.74e-08,4.07e-09,468.1047302,26.74133838,1337.363168,496.1783135,90395.02729,90262.39569,90508.91549,69.76348104,283.5289854,281.8584412,285.365953,0.960701413,293.872601,287.6282958,300.7876023,4.639412872,0.575502294,-0.206548741,1.218506239,0.387541339,1.272215442,-0.580088417,3.099974391,1.292466497,0,0,0,580,5
"30",31,1,2015-02-01,"BSQ",22.875,0.085243515,0.177033583,6.57e-10,4.83e-09,1.34e-09,1.87e-09,5.15e-09,1.53e-09,9.77e-09,2.06e-09,503.2323324,18.73293207,1434.055594,545.0827703,90342.36207,90235.96794,90474.27143,81.29607918,284.0634426,282.0516032,287.3109849,1.512837338,294.4090383,287.8723442,301.9502804,4.940245156,0.465298487,-0.123545806,1.339646452,0.465364729,1.373748493,-0.533374064,2.962449687,1.243220154,0,0,0,580,7
"32",33,1,2015-02-03,"BSQ",25.75,0.077352565,0.177033583,7.08e-10,4.24e-09,1.16e-09,2.68e-09,5.37e-09,1.51e-09,1.64e-08,3.78e-09,535.2328365,22.69668633,1534.148504,569.8427215,90339.6311,90229.23375,90460.80349,63.24425961,282.8925676,281.5844005,284.4201195,0.745336473,294.4718585,287.8608452,301.717145,4.736573721,0.519172951,-0.286250304,1.140693832,0.364740757,1.311581446,-0.79997106,2.983225335,1.248385568,0,0,0,580,2
"34",35,1,2015-02-05,"BSQ",25.375,0.132071043,0.177033583,7.42e-10,3.21e-09,9.03e-10,2.52e-09,5.16e-09,1.58e-09,9.27e-09,2.11e-09,453.6587478,16.29621345,1246.555186,486.3811967,90218.69807,90071.02796,90370.55979,95.36783778,283.5714979,282.1928754,285.3572129,1.006582336,294.2331042,288.5511738,300.3693754,4.338918608,0.599389385,-0.176121563,1.497306435,0.507079776,1.280406638,-0.42753569,3.111258467,1.304662522,0,0,0,580,4
