"","X.1","X","ID","date","estacion","PM25","AOD_055","ndvi","BCSMASS_dia","DUSMASS_dia","DUSMASS25_dia","OCSMASS_dia","SO2SMASS_dia","SO4SMASS_dia","SSSMASS_dia","SSSMASS25_dia","blh_mean","blh_min","blh_max","blh_sd","sp_mean","sp_min","sp_max","sp_sd","d2m_mean","d2m_min","d2m_max","d2m_sd","t2m_mean","t2m_min","t2m_max","t2m_sd","v10_mean","v10_min","v10_max","v10_sd","u10_mean","u10_min","u10_max","u10_sd","tp_mean","tp_min","tp_max","tp_sd","DEM","dayWeek"
"2",2,2,12,2015-01-03,"Estacion Trafico Centro",35.56521739,0.116260274,0.296111925,2.42e-10,9.97e-10,4.17e-10,2.19e-09,1.37e-09,3.75e-10,4.71e-09,1.02e-09,548.327352,26.71598303,1957.746178,752.6071841,80338.1437,80181.53895,80538.92885,102.37489,282.7938404,280.2113656,284.9928922,1.43202127,291.7024945,284.7021899,299.635205,5.182611539,-0.271526408,-0.813096079,0.638658008,0.483203657,-1.399775908,-2.209485483,-0.708453893,0.410513815,1.6e-07,0,8.86e-07,2.78e-07,1483,6
"3",3,3,12,2015-01-05,"Estacion Trafico Centro",36.65217391,0.269,0.296111925,3.27e-10,6.52e-10,2.47e-10,2.85e-09,1.22e-09,5.39e-10,8.75e-09,1.69e-09,579.1891897,27.22297749,1978.766013,763.28498,80455.52529,80261.97134,80656.46495,108.7924801,283.4202209,281.937671,286.1803709,1.115267315,291.8588964,285.2673864,298.8617922,4.781600301,-0.369219187,-0.998935574,0.32208091,0.40351566,-1.450347052,-2.58228379,-0.771435935,0.569850384,5.13e-07,0,2.39e-06,7.44e-07,1483,1
"4",4,4,12,2015-01-06,"Estacion Trafico Centro",37.17391304,0.030053391,0.296111925,2.81e-10,5.32e-10,1.92e-10,2.66e-09,1.23e-09,5.25e-10,7.97e-09,1.61e-09,594.3398186,27.64777778,2076.082131,795.2022381,80390.93187,80176.22677,80537.23695,107.7201624,282.1980041,276.0894043,284.857852,2.729810391,291.3923661,284.068301,299.2361583,5.230729518,-0.227303931,-0.874785501,0.59216731,0.490940546,-1.436145784,-2.22837967,-0.613584677,0.441153574,1e-07,0,5.81e-07,1.78e-07,1483,2
"5",5,5,12,2015-01-07,"Estacion Trafico Centro",41.95833333,0.07290154,0.296111925,3.37e-10,6.37e-10,2.34e-10,2.93e-09,1.67e-09,4.84e-10,6.25e-09,1.14e-09,482.1518318,25.56405839,1839.860678,679.1631507,80278.12524,80029.47654,80451.777,127.6781,282.1083096,279.8279945,285.2342342,1.318328042,290.7676151,283.7425664,298.388406,5.038508788,-0.174622409,-0.847302755,1.012031611,0.660087384,-1.223503946,-1.59084148,-0.658404341,0.286985363,3.38e-06,0,2.26e-05,5.82e-06,1483,3
"6",6,6,12,2015-01-08,"Estacion Trafico Centro",43.59090909,0.281842885,0.296111925,3.76e-10,1.08e-09,3.67e-10,3.09e-09,1.83e-09,5.17e-10,1.27e-08,2.33e-09,462.5517912,28.30941126,1621.884162,611.2494996,80322.13824,80155.20591,80518.89484,101.0809992,284.080095,282.2110238,287.0388301,1.017395037,290.972123,285.2691987,297.1871167,4.066266958,-0.132053024,-0.739267503,0.918433067,0.555460715,-1.049333517,-1.416245749,-0.433190466,0.274795565,1.25e-05,0,0.000131174,3.01e-05,1483,4
"7",7,7,12,2015-01-09,"Estacion Trafico Centro",46.16666667,0.114388669,0.296111925,2.77e-10,1.32e-09,4.44e-10,2.55e-09,8.55e-10,1.2e-09,1.7e-08,3.24e-09,560.1679797,27.05806705,1773.909755,693.2421756,80361.31649,80210.82049,80560.15433,94.47782793,285.6736147,284.4079583,287.562405,0.911452673,291.6825113,286.3775967,297.7182425,4.112441206,-0.126021899,-0.65302329,1.044354945,0.567117935,-1.242219692,-1.956832227,-0.641944435,0.430032527,1.33e-05,0,0.000186522,3.78e-05,1483,5
"8",8,8,12,2015-01-30,"Estacion Trafico Centro",41.45833333,0.374924116,0.296111925,4.8e-10,2.33e-09,8.88e-10,4.26e-09,1.11e-09,1.83e-09,2.07e-08,4.43e-09,307.9877104,25.06848453,1027.506929,362.0601473,80363.35702,80212.15646,80525.48162,92.60937317,287.8281361,285.2138562,289.6363896,1.028768528,291.0666321,285.6891452,296.0880282,3.218455994,0.0039371,-0.426464785,0.827240225,0.37584585,-0.773595626,-1.112007301,0.087714385,0.349560876,0.000132833,1.44e-05,0.000281737,8.64e-05,1483,5
"11",11,11,12,2015-02-20,"Estacion Trafico Centro",40.08333333,0.311144936,0.261462596,3.73e-10,9.68e-10,2.74e-10,2.26e-09,4e-10,1.06e-09,7.03e-09,1.25e-09,273.1097789,20.87789818,982.3241489,328.5045073,80481.21154,80341.77186,80625.49354,92.61094633,287.7642083,285.5700767,288.7365092,0.729554175,291.2866332,285.9650254,296.639926,3.094951075,0.093600127,-0.414615866,0.486840693,0.235629211,-0.204009644,-0.862779866,0.164149717,0.234711512,0.000178644,1.2e-05,0.001321076,0.000269176,1483,5
"12",12,12,12,2015-03-08,"Estacion Trafico Centro",46.45833333,0.148378304,0.224921801,3.94e-10,4.77e-09,1.52e-09,3.33e-09,5.26e-10,1.52e-09,2.03e-08,4.23e-09,476.3701693,33.00203142,1604.427193,593.8610445,80265.14215,79974.06633,80451.98448,145.6826315,288.0574301,286.7123964,290.4098072,0.976064702,292.3434563,287.7599921,297.9999722,3.679128373,0.025073545,-0.427590837,0.71610083,0.320388924,-1.356123909,-1.838968963,-0.826811552,0.266864536,5.29e-05,1.61e-06,0.000156707,4.13e-05,1483,7
"13",13,13,12,2015-03-10,"Estacion Trafico Centro",30.14285714,0.174251376,0.224921801,5.08e-10,5.46e-09,1.92e-09,4.19e-09,6.53e-10,1.36e-09,3.78e-08,6.82e-09,461.017367,33.44126449,1607.995034,570.8711467,80258.98666,80059.56657,80430.27806,103.9211919,287.9037558,286.687267,289.6219002,0.744628599,292.6944576,287.1941024,299.1645702,3.969847879,-0.227036464,-0.813731341,0.517951595,0.434819056,-1.213630956,-1.910288983,-0.449088215,0.34735718,0.000131477,1e-06,0.000900375,0.000251125,1483,2
