"","X","ID","date","estacion","PM25","AOD_055","ndvi","BCSMASS_dia","DUSMASS_dia","DUSMASS25_dia","OCSMASS_dia","SO2SMASS_dia","SO4SMASS_dia","SSSMASS_dia","SSSMASS25_dia","blh_mean","blh_min","blh_max","blh_sd","sp_mean","sp_min","sp_max","sp_sd","d2m_mean","d2m_min","d2m_max","d2m_sd","t2m_mean","t2m_min","t2m_max","t2m_sd","v10_mean","v10_min","v10_max","v10_sd","u10_mean","u10_min","u10_max","u10_sd","tp_mean","tp_min","tp_max","tp_sd","DEM","dayWeek"
"1",1,1,2023-12-20,"Carapicuiba",7.130434783,0.148239624,0.25894935,3.7e-10,6.84e-10,2.07e-10,1.38e-09,5.44e-09,2.13e-09,9.01e-09,1.4e-09,799.4355077,277.5096608,1730.554328,482.3494128,92222.35935,92112.93759,92369.33433,74.16489005,288.9740194,287.4770179,290.4845182,0.940145763,294.7424408,290.0355565,300.4839237,3.663748953,2.344781418,1.01251894,4.804051882,1.096467458,-3.271358501,-3.85076784,-2.139919271,0.5184436,5.15e-06,0,6.36e-05,1.41e-05,808,3
"2",2,1,2023-12-24,"Carapicuiba",11.45833333,0.166503926,0.25894935,1.75e-09,1.67e-09,5.59e-10,6.05e-09,7.23e-09,1.95e-09,3.66e-09,7.46e-10,666.5755141,75.17447987,1539.305551,483.7696133,92353.94683,92212.49728,92536.05041,99.56343783,292.2432417,291.1126008,293.502126,0.681635454,296.5624134,292.0242731,302.6174415,3.994229128,-1.723555885,-3.459840638,0.632690992,1.254264733,2.30770846,0.251428463,4.017740525,1.277383066,4.7e-05,0,0.000285743,6.27e-05,808,7
"3",3,1,2023-12-25,"Carapicuiba",21.04166667,0.114663838,0.25894935,9.8e-10,1.33e-09,4.4e-10,3.59e-09,1.14e-08,3.09e-09,4.47e-09,1.13e-09,701.7905938,47.96100884,1866.065817,664.682777,92339.28559,92125.17481,92543.91655,119.6837768,292.7556641,291.0812536,293.7080173,0.84378541,298.8474967,293.756835,305.3194936,4.077679945,-1.925221283,-3.71950119,0.424484015,1.012125201,2.175232666,0.277213505,4.187072894,1.476637004,7.64e-06,0,5.99e-05,1.62e-05,808,1
"4",4,1,2023-12-27,"Carapicuiba",8.041666667,0.171735893,0.25894935,5.43e-10,2.68e-09,8.32e-10,1.93e-09,7.37e-09,1.36e-09,3.79e-08,6.02e-09,746.7262733,352.755534,1314.916924,348.2742418,92631.56776,92542.16914,92751.33123,65.78820852,288.7187271,287.2904841,291.245537,0.998278508,293.8783447,290.3374913,298.4000072,2.88309709,2.52131756,1.651829755,3.562531173,0.579118693,-2.715187445,-3.501923915,-1.81629713,0.572463994,8.73e-06,0,4.33e-05,1.21e-05,808,3
"5",5,1,2023-12-28,"Carapicuiba",9.8125,0.159061123,0.25894935,5.91e-10,1.74e-09,5.62e-10,2.09e-09,8.39e-09,2.34e-09,2.42e-08,4.54e-09,799.4400518,160.8160857,1969.642622,685.3862214,92524.12984,92257.39128,92739.20103,152.324916,288.6141325,286.7669684,291.7081215,1.385681035,295.2739303,288.5968858,303.3087816,5.421500843,0.36994631,-1.681978742,2.336269965,1.110516231,-1.292584346,-3.461103911,1.506725559,1.701246864,2.23e-08,0,5.01e-07,1.02e-07,808,4
"175",192,11,2015-01-06,"Marg.Tiete-Pte Remedios",18.625,0.202777331,0.238594751,6.71e-10,1.67e-09,5.9e-10,2.14e-09,7.73e-09,3.83e-09,8.66e-09,1.89e-09,526.2969166,210.5639879,1302.918347,363.0660519,92743.35506,92623.74811,92871.87543,84.36154677,293.3177451,292.063103,295.2752318,1.010983792,296.4704283,292.9477797,301.9094867,3.092331128,-0.307646729,-2.184800927,1.391923737,1.097476767,-1.327162,-3.043440812,0.911761786,1.170921286,0.000464596,1.25e-10,0.003127997,0.000920576,724,2
"176",193,11,2015-01-07,"Marg.Tiete-Pte Remedios",24.70833333,0.053115858,0.238594751,1.13e-09,1.13e-09,3.93e-10,4.32e-09,1.11e-08,3.71e-09,6.78e-09,1.6e-09,567.2084282,29.27047353,1956.705647,619.8203046,92593.23923,92359.5289,92755.9263,111.3473636,292.580311,291.0250308,294.7404771,0.861036977,297.6894242,293.0051503,304.0297619,3.83802242,-1.140106113,-2.67249968,0.715788452,0.862480429,-0.12579715,-1.838539452,1.594462417,1.058022431,0.000259181,0,0.001912196,0.000480298,724,3
"177",194,11,2015-01-08,"Marg.Tiete-Pte Remedios",23.125,0.04601971,0.238594751,1.76e-09,7.89e-10,3.12e-10,6.46e-09,1.53e-08,2.58e-09,5.48e-09,1.08e-09,498.4818991,31.14637051,1726.064157,563.294006,92583.56341,92357.14568,92739.19485,113.3378914,292.180917,289.9980494,294.1804593,1.00196134,297.5404894,292.1832368,304.2281793,4.441759432,-1.034372934,-1.963619808,0.421795951,0.531545986,0.532382825,-1.677418322,1.888776595,0.937807797,0.000152148,0,0.001547649,0.000333825,724,4
"178",195,11,2015-01-09,"Marg.Tiete-Pte Remedios",34.625,0.261876114,0.238594751,1.1e-09,8.55e-10,3.37e-10,4.35e-09,1.41e-08,1.84e-09,1.28e-08,2.5e-09,559.3930626,20.61016923,1627.870612,657.1549682,92514.05193,92347.62903,92656.25336,95.58579737,293.2292273,291.7948544,295.6852856,1.098989522,299.5903489,293.5931088,305.6926766,4.448148516,-0.961329078,-2.695545914,0.922804361,1.005623836,1.168770802,-0.431217666,2.782667012,1.027471058,8.29e-05,0,0.000925767,0.000217854,724,5
"179",196,11,2015-01-10,"Marg.Tiete-Pte Remedios",21.66666667,0.249671713,0.238594751,1.88e-09,8.66e-10,3.06e-10,6.81e-09,1e-08,1.43e-09,6.62e-09,1.29e-09,544.5268955,21.50272713,1701.733165,591.2375732,92520.60837,92357.84173,92681.0016,93.87323628,293.6050615,292.0573986,295.3477691,0.867930639,300.1945341,295.4533019,305.703208,3.310322146,-0.125182671,-1.636988051,1.914512736,1.400977785,1.017900358,-1.147123203,2.552064058,1.069832014,8.38e-05,0,0.000714698,0.000182038,724,6
